,variable,CCT,MSB,SAI
0,Transpiration,-1.02959063191893,-0.9243053456462853,-1.297103674954205
1,Latent Heat,0.38280708945224173,-0.5040532578485234,-1.4967344272957703
2,Sensible Heat,2.079498133890398,1.695239494935526,-0.6712124937688745
3,SW Clear-Sky,-2.458293916962224,0.3086506668752159,5.276768570080008
4,SW CF,-1.3253919653568962,-1.5546048314240248,-1.3627121423342503
5,LW Clear-Sky,-0.24905580617094084,-0.7565357283315679,-1.074099628047367
6,LW CF,1.200412551664524,1.1107111352851724,0.07688321022706279
